oaaclassifier
oaaclassifier: loading data...
oaaclassifier: processing labels...
    converting training labels...
oaaclassifier: training perceptrons (9)...
    percep. 1, itr 22900, error 22.2618276, diff 0.000271
    percep. 1, itr 23000, error 22.2348166, diff 0.000269
    percep. 1, itr 23100, error 22.2079542, diff 0.000268
    percep. 1, itr 23200, error 22.1812389, diff 0.000266
    percep. 1, itr 23300, error 22.1546696, diff 0.000265
    percep. 1, itr 23400, error 22.1282449, diff 0.000264
    percep. 1, itr 23500, error 22.1019636, diff 0.000262
    percep. 1, itr 23600, error 22.0758244, diff 0.000261
    percep. 1, itr 23700, error 22.0498262, diff 0.000259
    percep. 1, itr 23800, error 22.0239676, diff 0.000258
    percep. 1, itr 23900, error 21.9982475, diff 0.000257
    percep. 1, itr 24000, error 21.9726648, diff 0.000255
    percep. 1, itr 24100, error 21.9472182, diff 0.000254
    percep. 1, itr 24200, error 21.9219065, diff 0.000252
    percep. 1, itr 24300, error 21.8967287, diff 0.000251
    percep. 1, itr 24400, error 21.8716836, diff 0.000250
    percep. 1, itr 24500, error 21.8467701, diff 0.000248
    percep. 1, itr 24600, error 21.8219870, diff 0.000247
    percep. 1, itr 24700, error 21.7973333, diff 0.000246
    percep. 1, itr 24800, error 21.7728079, diff 0.000245
    percep. 1, itr 24900, error 21.7484098, diff 0.000243
    percep. 1, itr 25000, error 21.7241377, diff 0.000242
    percep. 1, itr 25100, error 21.6999908, diff 0.000241
    percep. 1, itr 25200, error 21.6759680, diff 0.000240
    percep. 1, itr 25300, error 21.6520681, diff 0.000238
    percep. 1, itr 25400, error 21.6282904, diff 0.000237
    percep. 1, itr 25500, error 21.6046336, diff 0.000236
    percep. 1, itr 25600, error 21.5810969, diff 0.000235
    percep. 1, itr 25700, error 21.5576792, diff 0.000234
    percep. 1, itr 25800, error 21.5343796, diff 0.000232
    percep. 1, itr 25900, error 21.5111972, diff 0.000231
    percep. 1, itr 26000, error 21.4881309, diff 0.000230
    percep. 1, itr 26100, error 21.4651798, diff 0.000229
    percep. 1, itr 26200, error 21.4423430, diff 0.000228
    percep. 1, itr 26300, error 21.4196196, diff 0.000227
    percep. 1, itr 26400, error 21.3970087, diff 0.000226
    percep. 1, itr 26500, error 21.3745093, diff 0.000224
    percep. 1, itr 26600, error 21.3521206, diff 0.000223
    percep. 1, itr 26700, error 21.3298417, diff 0.000222
    percep. 1, itr 26800, error 21.3076717, diff 0.000221
    percep. 1, itr 26900, error 21.2856098, diff 0.000220
    percep. 1, itr 27000, error 21.2636550, diff 0.000219
    percep. 1, itr 27100, error 21.2418067, diff 0.000218
